country,country_code,govt_health_exp,comp_educ,mmr,gdp,gdp_per_capita,private_health_exp,oop_health_exp,fertility_rate,sab,num_physicians,total_health_exp,rule_of_law,female_pop
North Macedonia,MKD,225.46480965,13,3,12683068114.2388,6108.73917044261,161.99440789,159.7641849,1.42,99.9,NA,387.46517944,-0.307711988687515,714471
Northern Mariana Islands,MNP,NA,NA,NA,1301000000,25862.7544529262,NA,NA,NA,NA,NA,NA,NA,16340
Norway,NOR,7089.27213796,10,2,439788625883.8,82792.8427113304,1182.58637909,1155.46560762,1.56,99.2,4.857,8271.85839844,1.92218768596649,1691080
Oman,OMN,552.56997647,10,16,91505851755.5267,19887.5743113149,86.75488693,41.53529513,2.883,98.6,2.103,639.32489014,0.436154454946518,1051938
Pakistan,PAK,13.70200224,12,178,356128166704.921,1620.74259148331,24.83738845,23.36776722,3.685,69.3,0.947,41.40914105,-0.683727979660034,63107299
Palau,PLW,1046.83263679,12,NA,288546281.25,16152.3892325347,697.04305578,298.5532419,NA,100,NA,1789.52954102,1.00182437896729,5851
Panama,PAN,712.32536963,11,47,67294169200,16156.0742859681,514.72780263,438.47608537,2.441,92.9,1.61,1228.07336426,-0.159152254462242,1346771
Papua New Guinea,PNG,41.74199862,NA,199,24109780708.0268,2584.32780208122,5.70723671,5.70723671,3.382,56.4,0.065,59.28691864,-0.764962136745453,2777658
Paraguay,PRY,189.14869046,13,70,40225448340.6322,6242.96145417898,231.66530262,184.75714238,2.561,97.7,1.462,421.08627319,-0.602721273899078,2066774
Peru,PER,223.49862066,14,63,222597009739.235,6912.10398761205,139.20359493,106.87955663,2.26,93.7,1.36,363.42483521,-0.566928744316101,10509834
Philippines,PHL,49.08064671,13,82,346841896583.515,3194.67270132209,76.83746072,63.70758202,2.831,NA,0.701,126.31157684,-0.564711272716522,33914892
Poland,POL,695.74820078,10,2,588779850758.053,15504.5089370714,282.41666361,203.52395819,1.46,99.8,NA,978.73565674,0.376462787389755,12829860
Portugal,PRT,1355.4599458,12,11,242313116577.967,23562.5545228191,859.29070956,663.05845618,1.42,99.9,5.294,2216.30664063,1.10758209228516,3431202
Puerto Rico,PRI,NA,13,18,100958100000,31615.0667918433,NA,NA,1.035,NA,NA,NA,0.556203603744507,1082959
Qatar,QAT,1661.64479719,9,6,183334953818.681,66264.081168209,494.18661141,223.09858932,1.848,100,2.499,2155.83129883,0.704719603061676,510222
Romania,ROU,547.59798255,10,11,243316029944.056,12494.4235789649,139.55613935,133.70350004,1.76,93.1,NA,687.15411377,0.36751726269722,6426950
Russian Federation,RUS,362.2992282,11,9,1657328773461.31,11287.3544921875,247.05168787,233.45247306,1.579,99.7,4.119,609.35095215,-0.83245325088501,50892306
Rwanda,RWA,18.01813632,6,281,9636254325.02444,768.943661203909,13.33781527,6.11618743,3.994,NA,0.132,51.54394531,0.109598584473133,3694266
Samoa,WSM,153.51854007,8,58,878448433.404342,4189.05219052051,27.03036971,25.06429543,4.109,NA,NA,197.90484619,0.912800967693329,58461
San Marino,SMR,3643.68654428,10,NA,1655354303.86998,48464.5246477919,471.38140806,445.90022625,NA,NA,NA,4115.06787109,1.53662586212158,11663
Sao Tome and Principe,STP,55.04549744,6,149,383717327.830508,1815.60549545058,20.81147177,19.11581892,4.044,NA,NA,114.84675598,-0.713534414768219,57769
Saudi Arabia,SAU,907.6440483,9,17,846583791842.629,24175.5833140113,383.48457553,205.26819398,2.546,99.4,2.514,1291.12866211,0.117317117750645,9773698
Senegal,SEN,16.60759529,11,277,23116701556.1381,1484.22707035644,35.75557848,31.79417276,4.584,74.2,NA,65.77828217,-0.223899483680725,4366296
Serbia,SRB,366.35212617,8,11,50640662859.4987,7252.40366767165,246.5103626,236.41166087,1.49,NA,NA,617.08679199,-0.170304462313652,2314749
Seychelles,SYC,584.25760364,10,4,1588050311.16454,16411.9211174277,204.26434805,191.42337877,2.41,NA,2.328,791.52984619,0.281118184328079,30789
