Country Name,MMR,GDP,fertility_rate,SAB,private_health_exp,govt_health_exp,tertiary_school_enroll,female_pop,num_physicians
Singapore,7,376869585632.115,1.14,99.6,1320.55300039,1320.95333806,95.4178237915039,2017909,2.391
Sint Maarten (Dutch part),NA,1185474860.3352,1.61,NA,NA,NA,NA,15434,NA
Slovak Republic,5,106137924015.591,1.54,98,270.19754368,1029.72409649,57.8424682617188,1851157,3.517
Slovenia,4,54177882425.8421,1.6,NA,598.61108187,1570.96801597,92.126838684082,655127,3.1721
Solomon Islands,127,1615478421.45974,4.157,NA,3.4217751,72.6056056,NA,184148,NA
Somalia,651,5856000006.22021,6.632,NA,NA,NA,NA,3855739,NA
South Africa,125,404158882459.024,2.418,NA,236.95298858,325.83864567,27.9371891021729,19235276,0.7527
South Sudan,1275,NA,4.696,NA,7.48623738,3.0775124,0.467735767364502,2689498,0.0374
Spain,4,1421702715218.01,1.26,99.9,816.26562673,1925.13268338,101.434112548828,15366620,4.0299
Sri Lanka,30,94493871351.4217,2.031,NA,84.21879709,72.86195103,22.5788440704346,7337880,1.0041
St. Kitts and Nevis,NA,1076922222.22222,1.587,100,596.18325652,506.99043292,NA,17433,2.7672
St. Lucia,61,2057074074.07407,1.436,100,280.99647167,229.60654099,19.7136402130127,64151,NA
St. Martin (French part),NA,NA,2.517,NA,NA,NA,NA,12151,NA
St. Vincent and the Grenadines,60,884328180.526933,1.873,NA,111.06716111,235.21366557,NA,34230,NA
Sudan,293,32333780383.2924,4.681,NA,24.9910808,8.27482224,NA,11763951,NA
Suriname,98,3996198760.32389,2.418,98.4,137.09294898,307.14981107,NA,193771,0.8194
Sweden,5,555455371487.089,1.76,NA,913.69384498,5091.37246796,92.0438690185547,3103868,4.4055
Switzerland,7,725562534363.895,1.52,NA,6788.90468637,3081.66931259,66.2318420410156,2803873,4.3328
Syrian Arab Republic,31,21496337967.8677,2.886,NA,NA,NA,NA,5547151,NA
Tajikistan,17,7765000282.29397,3.294,NA,40.93920164,16.13650176,NA,2766966,NA
Tanzania,267,57003686049.4102,4.923,NA,8.82244089,15.33809599,NA,15673934,0.0512
Thailand,29,506754212432.991,1.378,NA,79.90600204,195.35613595,57.6951866149902,25709837,0.805
Timor-Leste,249,1563887900,3.452,NA,8.01840003,48.74410377,NA,354663,0.7224
Togo,435,7029217931.75029,4.442,NA,38.93720718,9.01252125,8.72474002838135,2245896,0.0774
Tonga,84,488906860.874058,3.349,NA,21.53759766,146.11259024,NA,31210,NA
Trinidad and Tobago,28,24322359037.409,1.651,NA,544.33879993,511.43736354,NA,531158,NA
Tunisia,39,42686509835.5287,2.174,99.5,99.72279945,111.61669023,39.3128890991211,4063214,NA
Turkiye,17,778476714087.962,2.054,99.2,87.67909178,299.97739134,109.953590393066,27907267,1.8597
Turkmenistan,5,40765428571.4286,2.786,NA,374.62160351,80.44239692,NA,1985949,NA
Turks and Caicos Islands,NA,1113178000,1.723,NA,NA,NA,15.8493251800537,14701,NA
Tuvalu,NA,48015219.9526234,3.209,NA,17.9378299,663.04403056,NA,3281,NA
Uganda,283,32927025621.3848,4.932,NA,13.10180996,5.53423091,NA,10933585,0.4022
Ukraine,11,130891086689.522,1.301,NA,116.41472535,102.80975374,86.4879837036133,15675031,NA
United Arab Emirates,9,427049432157.931,1.356,99.2,927.23952807,987.69230622,NA,2016202,2.5278
United Kingdom,9,2878152147315.82,1.68,NA,840.96133649,3386.14844814,72.1610794067383,21234546,2.8044
United States,19,20533057312000,1.7295,99.1,5008.63459575,5275.91969351,102.354042053223,107088472,2.61
Uruguay,18,65203071110.6037,1.658,100,524.03817003,1172.97641509,NA,1110142,NA
Uzbekistan,31,52870108217.5626,2.604,100,50.24229376,31.42724029,8.3022985458374,10931634,NA
Vanuatu,97,914736985.430944,3.855,NA,11.96354435,65.85785794,NA,85337,NA
"Venezuela, RB",179,NA,2.272,98.7,80.05641198,85.21633569,NA,9672311,NA
Viet Nam,130,310106472642.968,1.937,NA,94.19821636,68.36870548,NA,33184310,NA
Virgin Islands (U.S.),NA,3922000000,2.06,NA,NA,NA,NA,34827,NA
West Bank and Gaza,21,16276600000,3.712,NA,NA,NA,56.2046585083008,1309681,NA
"Yemen, Rep.",176,21606161066.2074,4.043,NA,NA,NA,NA,8597193,NA
Zambia,145,26311506435.0598,4.536,80.4,12.34305647,29.31104456,NA,4883845,0.1168
Zimbabwe,359,34156069918.0609,3.659,NA,41.37058649,39.13096864,8.10026454925537,4511959,0.2096
